Language	Standard Code
Afrikaans	af, afr, afr, afr
Amharic	am, amh, amh, amh
Arabic	ar, ara, ara [XXX], arb [XXX]
Aymara	ay, aym, aym [ayr, ayc], aym
Azerbaijani	az, aze, aze [azj, azb, slq, qxq], aze
Baoulé	-, -, bci, -
Central Bikol	-, -, bcl, bkl
Bemba	-, bem, bem, bem
Bengali	bn, ben, ben, ben
Bislama	bi, bis, bis, bsm
Bulgarian	bg, bul, bul, bul
Catalan	ca, cat, cat, ctl
Cebuano	-, ceb, ceb, ceb
Czech	cs, [cze, ces], ces, cze
Danish	da, dan, [dan, jut], dsh
German	de, [ger, deu], deu [XXX], ger
Ewe	ee, ewe, [ewe, wci, kef], [ewe, ewa]
Efik	-, efi, efi, efi
Greek	el, [gre, ell], ell, [gcy, grk]
English	en, eng, eng, eng
Spanish	es, spa, spa, [spa, spc]
Estonian	et, est, est [ekk, vro], est
Persian	fa, [per, fas], fas [XXX], prs
Finnish	fi, fin, fin, fin
Fijian	fj, fij, fij, [fij, fiw]
French	fr, [fre, fra], fra, fre
Ga	-, gaa, gaa, ga
Gilbertese (Kiribati)	-, gil, gil, krb
Guarani	-, -, gug, gua
Gujarati	gu, guj, guj, guj
Fon (Gungbe dialect)	-, fon, fon (guw), fon (guw)
Hebrew	he, heb, [heb, hbo, smp, obm, xdm], [heb, hba]
Hiligaynon	-, hil, hil, hil
Hindi	hi, hin, hin, hin
Hiri Motu	ho, hmo, hmo, -
Croatian	hr, hrv, hrv, scr
Haitian Creole	ht, hat, hat, hcr
Hungarian	hu, hun, [hun, ohu], hun
Armenian	hy, [arm, hye], [hye, hyw, xcl, axm], [arz, arw, arm]
Indonesian	id, ind, ind, [ind, inj]
Igbo	ig, ibo, ibo, igb
Ilocano	-, ilo, ilo, ilo
Icelandic	is, [ice, isl], isl, ice
Italian	it, ita, ita, [ifi, ita]
Japanese	ja, jpn, jpn, jpn
Georgian	ka, [geo, kat], kat, geo
Mongolian	mn, mon, mon [khk, mvf], [khk, ord]
Kikuyu (Gikuyu)	ki, kik, kik, kik
Kazakh	kk, kaz, kaz, kaz
Greenlandic	kl, kal, kal, [gre, gso, grw]
Khmer	km, khm, [khm, kxm], khm
Korean	ko, kor, [kor, jje, okm, oko], kor
Kaonde	-, -, kqn, -
Kongo (Kikongo)	kg, kon, kon [kng, ldi, kwy, yom], kon
Kyrgyz	ky, kir, kir, kgz
Luganda (Ganda, Oluganda)	lg, lug, lug, lda
Lingala	ln, lin, lin, lin
Lozi (siLozi, Rozi)	-, loz, loz, loz
Lithuanian	lt, lit, [lit, olt], lit
Luvale	-, -, lue, luv
Lunda (Chilunda)	-, lun, lun, lbu
Luo Dialect	-, luo, luo, luo
Latvian	lv, lav, lav [lvs, ltg], lat
Malagasy	mg, mlg, mlg [XXX], mal
Macedonian	mk, [mac, mkd], mkd, mcd
Malayalam	ml, mal, mal, mym
Mossi (Mooré)	-, mos, mos, moo
Marathi	mr, mar, [mar, omr], mhi
Maltese	mt, mlt, mlt, mlt
Burmese	my, [bur, mya], mya [int, tvn, tco, rki, rmz], brm
Nepali (Khas-Kura)	ne, nep, nep [npi, dty], nep
Dutch	nl, [dut, nld], nld, [dur, dbr, dli]
Norwegian	no [nb, nn], nor [nob, nno], nor [nob, nno], nor
Northern Sotho (Sepedi, Pedi)	-, nso, [nso, brl, two], stn
Nyaneka	-, -, nyk, -
Chewa (Nyanja)	ny, nya, nya, cic
Oromo	om, orm, orm [gax, hae, orc, gaz, ssn], [orb, orh, orw, owc]
Ossetian (Ossete, Ossetic)	os, oss, oss, oss
(Salitan) Pangasinan 	-, pag, pag, pnn
Papiamento (Papiamentu)	-, pap, pap, pap
Punjabi (Panjabi)	pa, pan, [pan, pnb], pan
Pijin	-, -, pis, -
Polish	pl, pol, pol [szl], pol
Pohnpeian (Poapean)	-, pon, pon, poh
Portugese	pt, por, por, por
Quechua (Runasimi)	-, -, que, yum
Ayacucho Quechua (Chanca, Chanka)	-, -, [quy, qxu], qay
Cusco Quechua	-, -, [quz, qve], qcu
Romanian	ro, [rum, ron], ron, rom
Kirundi (Rundi)	rn, run, run, rnd
Russian	ru, rus, rus, rus
Kinyarwanda (Igifumbira)	rw, kin, kin, kin
Sango (Sangho)	sg, sag, [sag, snj], san
Sinhalese (Sinhala)	si, sin, sin, snh
Slovak	sk, [slo, slk], slk, svk
Slovene (Slovenian)	sl, slv, slv, slo
Samoan (Gagana Sãmoa)	sm, smo, smo, sam
Shona	sn, sna, [sna, twl, mxc, twx, ndc], shn
Albanian	sq, [alb, sqi], sqi [aae, aat, aln, als], alb
Sranan Tongo (Surinaams, Taki Taki)	-, srn, srn, sra
Sesotho (Sotho)	st, sot, sot, ses
Swedish	sv, swe, swe, [swe, swv]
Swahili (Kiswahili)	sw, swa, swa [swc, swh, ymk, wmw], swa
Tamil	ta, tam, [tam, oty, ptq], [tml, tsp]
Telugu	te, tel, tel, tel
Thai (Siamese)	th, tha, tha, tha
Tigrinya (Tigrina)	ti, tir, tir, tig
Tagalog	(Filipino)
Tswana (Setswana)	tn, tsn, tsn, tsw
Tonga (Chitonga)	-, -, toi [dov], toz
Tongan	to, ton, ton, tng
Tok Pisin	-, tpi, tpi, tpi
Tsonga (Xitsonga)	ts, tso, tso, tsn
Tatar	tt, tat, tat [sty], [tvo, ttb, tmi]
Tumbuka	-, tum, tum, -
Turkish	tr, tur, tur, tur
Tuvaluan (Tuvalu)	-, tvl, tvl, tvl
Twi (Akan Kasa)	tw [Twi], twi, twi, -
Tahitian (Reo Tahiti)	ty, tah, tah, tah
Tzotzil	-, -, tzo, tzo
Ukrainian	uk, ukr, ukr, ukr
Umbundu (South Umbundu)	-, umb, umb, umb
Urdu	ur, urd, urd, urd
Uzbek	uz, uzb, uzb [uzn, uzs], [uzb, uzn]
Venda (Tshivenda)	ve, ven, ven, ven
Vietnamese	vi, vie, vie, vie
Waray-Waray	-, war, war, wwy
Wallisian ('Uvean)	-, -, wls, wll
Xhosa (isiXhosa)	xh, xho, xho, xho
Yoruba	yo, yor, yor, yor
Yucatec Maya	-, -, yua, yct
Ishtmus/Juchitán Zapotec	-, -, zai, zai
Zulu	zu, zul, zul, [zul, zno, zso]
Kannada	kn, kan, kan, knd
